ts_utc,status,drive_id,parent_path,old_name,new_name,verified_name,error
2026-06-14T13:48:01.727505+00:00,RENAMED,1zGZDP5_KPf786NEaeND2sMKXFY3CwLbR,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_57.mp4,CC_US_EN_VID_APROBACION_NV_057.mp4,CC_US_EN_VID_APROBACION_NV_057.mp4,
2026-06-14T13:48:02.238628+00:00,RENAMED,10m4e2xdIPFpJNXk7wJar6iLUpAMOC35X,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_58.mp4,CC_US_EN_VID_APROBACION_NV_058.mp4,CC_US_EN_VID_APROBACION_NV_058.mp4,
2026-06-14T13:48:02.820007+00:00,RENAMED,1q1eXVYAqP0jb-bSBRCmL7jzFXKEMH_l8,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_59.mp4,CC_US_EN_VID_APROBACION_NV_059.mp4,CC_US_EN_VID_APROBACION_NV_059.mp4,
2026-06-14T13:48:03.370447+00:00,RENAMED,1Z4fjml02kAij_d5SvwyhxnWUycq1vRaa,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_60.mp4,CC_US_EN_VID_APROBACION_NV_060.mp4,CC_US_EN_VID_APROBACION_NV_060.mp4,
2026-06-14T13:48:03.864641+00:00,RENAMED,1B6abhGpRdmP3zUWDCk8fXMAo5O3VGhsZ,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_61.mp4,CC_US_EN_VID_APROBACION_NV_061.mp4,CC_US_EN_VID_APROBACION_NV_061.mp4,
2026-06-14T13:48:04.470845+00:00,RENAMED,1Gs1HbvOldd1mr83M1hG0lTqGUSOrgaPt,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_62.mp4,CC_US_EN_VID_APROBACION_NV_062.mp4,CC_US_EN_VID_APROBACION_NV_062.mp4,
2026-06-14T13:48:04.987662+00:00,RENAMED,1xA4_D35VkNA136vgfEjK8Eqw7WDdqd33,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_63.mp4,CC_US_EN_VID_APROBACION_NV_063.mp4,CC_US_EN_VID_APROBACION_NV_063.mp4,
2026-06-14T13:48:05.557673+00:00,RENAMED,1f-CWjSXcsD21jX7e1yMP6nLPJZAv2RG1,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_64.mp4,CC_US_EN_VID_APROBACION_NV_064.mp4,CC_US_EN_VID_APROBACION_NV_064.mp4,
2026-06-14T13:48:06.146642+00:00,RENAMED,1uFWyLdDzSqPZOpDRsPFhEPrkkV0PyDG7,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_65.mp4,CC_US_EN_VID_APROBACION_NV_065.mp4,CC_US_EN_VID_APROBACION_NV_065.mp4,
2026-06-14T13:48:06.703001+00:00,RENAMED,1pX8R6S3I07WNznVwFyW724qF9OUOrAyt,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_66.mp4,CC_US_EN_VID_APROBACION_NV_066.mp4,CC_US_EN_VID_APROBACION_NV_066.mp4,
2026-06-14T13:48:07.257153+00:00,RENAMED,1sBQqjHgraJvOBtEhRPStOirFhVqVXnFL,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_67.mp4,CC_US_EN_VID_APROBACION_NV_067.mp4,CC_US_EN_VID_APROBACION_NV_067.mp4,
2026-06-14T13:48:07.801299+00:00,RENAMED,1YhRocIybF_Hn4b5jlqo2LN1xk1eEXzLa,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_68.mp4,CC_US_EN_VID_APROBACION_NV_068.mp4,CC_US_EN_VID_APROBACION_NV_068.mp4,
2026-06-14T13:48:08.372048+00:00,RENAMED,1svharbl1yhmSlA09F7keUmvUKaL73SKY,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_69.mp4,CC_US_EN_VID_APROBACION_NV_069.mp4,CC_US_EN_VID_APROBACION_NV_069.mp4,
2026-06-14T13:48:08.880575+00:00,RENAMED,1AtBhOurncsL0bgvxquO2-ZJwu7cWAgub,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_70.mp4,CC_US_EN_VID_APROBACION_NV_070.mp4,CC_US_EN_VID_APROBACION_NV_070.mp4,
2026-06-14T13:48:09.470237+00:00,RENAMED,1hJ1GSyHeCw41ktGwFWphGa_8tDsoBD0p,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_71.mp4,CC_US_EN_VID_APROBACION_NV_071.mp4,CC_US_EN_VID_APROBACION_NV_071.mp4,
2026-06-14T13:48:10.039624+00:00,RENAMED,1_B-dNbenG-4GCMzbnYWVINIWd3zco_gR,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_72.mp4,CC_US_EN_VID_APROBACION_NV_072.mp4,CC_US_EN_VID_APROBACION_NV_072.mp4,
2026-06-14T13:48:10.628494+00:00,RENAMED,1bTt-7r11TD0LEcYeW904MPI6f5LVRM6S,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_73.mp4,CC_US_EN_VID_APROBACION_NV_073.mp4,CC_US_EN_VID_APROBACION_NV_073.mp4,
2026-06-14T13:48:11.163018+00:00,RENAMED,1q_sLwz-8guosgUhZVhKjp6HtOhnll4As,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/videos/stories,CC_US_EN_VID_APROBACION_NV_74.mp4,CC_US_EN_VID_APROBACION_NV_074.mp4,CC_US_EN_VID_APROBACION_NV_074.mp4,
